 Container expired_domains-runner-run-d2fb6e81359e Creating 
 Container expired_domains-runner-run-d2fb6e81359e Created 
2026-04-09 18:00:01 | INFO     | __main__ | Domain Cleanup — command=reset-failed  mode=LIVE
2026-04-10 06:00:02 | WARNING  | app.services.failed_reset_service | [linkstatus_blauwemonsters] Repeat offender: order 190398 (status=failed_image) — was already reset before, skipping
2026-04-10 06:00:02 | WARNING  | app.services.failed_reset_service | [linkstatus_blauwemonsters] Repeat offender: order 190404 (status=failed_image) — was already reset before, skipping
2026-04-10 06:00:02 | WARNING  | app.services.failed_reset_service | [linkstatus_blauwemonsters] Repeat offender: order 190440 (status=failed_image) — was already reset before, skipping
2026-04-10 06:00:02 | WARNING  | app.services.failed_reset_service | [linkstatus_blauwemonsters] Repeat offender: order 190502 (status=failed_image) — was already reset before, skipping
2026-04-10 06:00:02 | WARNING  | app.services.failed_reset_service | [linkstatus_blauwemonsters] Repeat offender: order 190514 (status=failed_image) — was already reset before, skipping
2026-04-10 06:00:02 | WARNING  | app.services.failed_reset_service | [linkstatus_blauwemonsters] Repeat offender: order 190673 (status=failed_domain_category) — was already reset before, skipping
2026-04-10 06:00:02 | WARNING  | app.services.failed_reset_service | [linkstatus_blauwemonsters] Repeat offender: order 190679 (status=failed_image) — was already reset before, skipping
2026-04-10 06:00:02 | WARNING  | app.services.failed_reset_service | [linkstatus_blauwemonsters] Repeat offender: order 190747 (status=failed_domain) — was already reset before, skipping
2026-04-10 06:00:02 | WARNING  | app.services.failed_reset_service | [linkstatus_blauwemonsters] Repeat offender: order 190748 (status=failed_domain) — was already reset before, skipping
2026-04-10 06:00:02 | WARNING  | app.services.failed_reset_service | [linkstatus_blauwemonsters] Repeat offender: order 190749 (status=failed_domain) — was already reset before, skipping
2026-04-10 06:00:02 | WARNING  | app.services.failed_reset_service | [linkstatus_blauwemonsters] Repeat offender: order 190750 (status=failed_domain) — was already reset before, skipping
2026-04-10 06:00:02 | WARNING  | app.services.failed_reset_service | [linkstatus_blauwemonsters] Repeat offender: order 190771 (status=failed_image) — was already reset before, skipping
2026-04-10 06:00:02 | WARNING  | app.services.failed_reset_service | [linkstatus_blauwemonsters] Repeat offender: order 190821 (status=failed_image) — was already reset before, skipping
2026-04-10 06:00:02 | WARNING  | app.services.failed_reset_service | [linkstatus_blauwemonsters] Repeat offender: order 190822 (status=failed_image) — was already reset before, skipping
2026-04-10 06:00:02 | WARNING  | app.services.failed_reset_service | [linkstatus_blauwemonsters] Repeat offender: order 190827 (status=failed_image) — was already reset before, skipping
2026-04-10 06:00:02 | WARNING  | app.services.failed_reset_service | [linkstatus_blauwemonsters] Repeat offender: order 190830 (status=failed_image) — was already reset before, skipping
2026-04-10 06:00:02 | WARNING  | app.services.failed_reset_service | [linkstatus_blauwemonsters] Repeat offender: order 190832 (status=failed_image) — was already reset before, skipping
2026-04-10 06:00:02 | WARNING  | app.services.failed_reset_service | [linkstatus_blauwemonsters] Repeat offender: order 190835 (status=failed_image) — was already reset before, skipping
2026-04-10 06:00:02 | WARNING  | app.services.failed_reset_service | [linkstatus_blauwemonsters] Repeat offender: order 190852 (status=failed_image) — was already reset before, skipping
2026-04-10 06:00:02 | WARNING  | app.services.failed_reset_service | [linkstatus_blauwemonsters] Repeat offender: order 190853 (status=failed_image) — was already reset before, skipping
2026-04-10 06:00:02 | WARNING  | app.services.failed_reset_service | [linkstatus_blauwemonsters] Repeat offender: order 190863 (status=failed_image) — was already reset before, skipping
