 Container expired_domains-runner-run-fad2e44768da Creating 
 Container expired_domains-runner-run-fad2e44768da Created 
2026-04-15 07:00:06 | INFO     | app.clients.hostingindustries | POST https://domains.hostingindustries.nl/login.php for account 'brandnewmedia'
2026-04-15 07:00:06 | INFO     | app.clients.hostingindustries | Login successful for account 'brandnewmedia'
2026-04-15 07:00:06 | INFO     | app.clients.hostingindustries | GET https://domains.hostingindustries.nl/domains.php for account 'brandnewmedia'
2026-04-15 07:00:07 | INFO     | app.clients.hostingindustries | Parsed 869 domains from account 'brandnewmedia'
2026-04-15 07:00:07 | INFO     | app.clients.hostingindustries | Total domains after merge/dedup: 2622 (from 2622 raw)
2026-04-15 07:00:07 | INFO     | app.services.run_coordinator | Fetched 2622 domains from HostingIndustries
2026-04-15 07:00:07 | INFO     | app.services.run_coordinator | Already processed domains in history: 745
2026-04-15 07:00:07 | INFO     | app.services.run_coordinator | Unusable domains: 204 total, 0 new to process, 204 already processed (skipped)
2026-04-15 07:00:07 | INFO     | app.services.run_coordinator | ── Processing source database: linkstatus_blauwemonsters ──
2026-04-15 07:00:08 | INFO     | app.services.run_coordinator |   Matched unusable in linkstatus_blauwemonsters: 195
2026-04-15 07:00:11 | INFO     | app.services.run_coordinator |   Affected orders in linkstatus_blauwemonsters: 0
2026-04-15 07:00:12 | INFO     | app.services.run_coordinator | ── Processing source database: linkstatus_brandnewmedia ──
2026-04-15 07:00:12 | INFO     | app.services.run_coordinator |   Matched unusable in linkstatus_brandnewmedia: 129
2026-04-15 07:00:15 | INFO     | app.services.run_coordinator |   Affected orders in linkstatus_brandnewmedia: 0
2026-04-15 07:00:16 | INFO     | app.services.email_draft_service | Generated 0 email drafts for 0 admins
2026-04-15 07:00:16 | INFO     | app.services.email_draft_service | Saved 0 drafts to /output/email_drafts/run_11
2026-04-15 07:00:16 | INFO     | app.services.sheets_service | Sheets sync skipped: no webhook URL or no domains
2026-04-15 07:00:16 | INFO     | app.services.run_coordinator | Marked 0 domains as processed
2026-04-15 07:00:16 | INFO     | app.services.report_service | JSON report written to /output/reports/run_11.json
2026-04-15 07:00:16 | INFO     | app.services.run_coordinator | === Run 11 finished successfully ===
 Container expired_domains-runner-run-74790a0e0867 Creating 
 Container expired_domains-runner-run-74790a0e0867 Created 
2026-04-16 07:00:02 | INFO     | __main__ | Domain Cleanup — command=run-all  mode=LIVE
2026-04-16 07:00:03 | INFO     | app.services.run_coordinator | === Run 12 started (LIVE) ===
2026-04-16 07:00:03 | INFO     | app.clients.hostingindustries | GET https://domains.hostingindustries.nl/login.php (capture session cookie) for account 'blauwemonsters'
2026-04-16 07:00:03 | INFO     | app.clients.hostingindustries | POST https://domains.hostingindustries.nl/login.php for account 'blauwemonsters'
2026-04-16 07:00:03 | INFO     | app.clients.hostingindustries | Login successful for account 'blauwemonsters'
2026-04-16 07:00:03 | INFO     | app.clients.hostingindustries | GET https://domains.hostingindustries.nl/domains.php for account 'blauwemonsters'
2026-04-16 07:00:06 | INFO     | app.clients.hostingindustries | Parsed 1752 domains from account 'blauwemonsters'
2026-04-16 07:00:06 | INFO     | app.clients.hostingindustries | GET https://domains.hostingindustries.nl/login.php (capture session cookie) for account 'brandnewmedia'
2026-04-16 07:00:06 | INFO     | app.clients.hostingindustries | POST https://domains.hostingindustries.nl/login.php for account 'brandnewmedia'
2026-04-16 07:00:07 | INFO     | app.clients.hostingindustries | Login successful for account 'brandnewmedia'
2026-04-16 07:00:07 | INFO     | app.clients.hostingindustries | GET https://domains.hostingindustries.nl/domains.php for account 'brandnewmedia'
2026-04-16 07:00:08 | INFO     | app.clients.hostingindustries | Parsed 869 domains from account 'brandnewmedia'
2026-04-16 07:00:08 | INFO     | app.clients.hostingindustries | Total domains after merge/dedup: 2621 (from 2621 raw)
2026-04-16 07:00:08 | INFO     | app.services.run_coordinator | Fetched 2621 domains from HostingIndustries
2026-04-16 07:00:08 | INFO     | app.services.run_coordinator | Already processed domains in history: 745
2026-04-16 07:00:08 | INFO     | app.services.run_coordinator | Unusable domains: 203 total, 0 new to process, 203 already processed (skipped)
2026-04-16 07:00:08 | INFO     | app.services.run_coordinator | ── Processing source database: linkstatus_blauwemonsters ──
2026-04-16 07:00:08 | INFO     | app.services.run_coordinator |   Matched unusable in linkstatus_blauwemonsters: 195
2026-04-16 07:00:12 | INFO     | app.services.run_coordinator |   Affected orders in linkstatus_blauwemonsters: 0
2026-04-16 07:00:13 | INFO     | app.services.run_coordinator | ── Processing source database: linkstatus_brandnewmedia ──
2026-04-16 07:00:13 | INFO     | app.services.run_coordinator |   Matched unusable in linkstatus_brandnewmedia: 129
2026-04-16 07:00:16 | INFO     | app.services.run_coordinator |   Affected orders in linkstatus_brandnewmedia: 0
2026-04-16 07:00:17 | INFO     | app.services.email_draft_service | Generated 0 email drafts for 0 admins
2026-04-16 07:00:17 | INFO     | app.services.email_draft_service | Saved 0 drafts to /output/email_drafts/run_12
2026-04-16 07:00:17 | INFO     | app.services.sheets_service | Sheets sync skipped: no webhook URL or no domains
2026-04-16 07:00:17 | INFO     | app.services.run_coordinator | Marked 0 domains as processed
2026-04-16 07:00:17 | INFO     | app.services.report_service | JSON report written to /output/reports/run_12.json
2026-04-16 07:00:17 | INFO     | app.services.run_coordinator | === Run 12 finished successfully ===
 Container expired_domains-runner-run-75787aa2b653 Creating 
 Container expired_domains-runner-run-75787aa2b653 Created 
2026-04-17 07:00:02 | INFO     | __main__ | Domain Cleanup — command=run-all  mode=LIVE
2026-04-17 07:00:02 | INFO     | app.services.run_coordinator | === Run 13 started (LIVE) ===
2026-04-17 07:00:02 | INFO     | app.clients.hostingindustries | GET https://domains.hostingindustries.nl/login.php (capture session cookie) for account 'blauwemonsters'
2026-04-17 07:00:02 | INFO     | app.clients.hostingindustries | POST https://domains.hostingindustries.nl/login.php for account 'blauwemonsters'
2026-04-17 07:00:03 | INFO     | app.clients.hostingindustries | Login successful for account 'blauwemonsters'
2026-04-17 07:00:03 | INFO     | app.clients.hostingindustries | GET https://domains.hostingindustries.nl/domains.php for account 'blauwemonsters'
2026-04-17 07:00:06 | INFO     | app.clients.hostingindustries | Parsed 1752 domains from account 'blauwemonsters'
2026-04-17 07:00:06 | INFO     | app.clients.hostingindustries | GET https://domains.hostingindustries.nl/login.php (capture session cookie) for account 'brandnewmedia'
2026-04-17 07:00:06 | INFO     | app.clients.hostingindustries | POST https://domains.hostingindustries.nl/login.php for account 'brandnewmedia'
2026-04-17 07:00:06 | INFO     | app.clients.hostingindustries | Login successful for account 'brandnewmedia'
2026-04-17 07:00:06 | INFO     | app.clients.hostingindustries | GET https://domains.hostingindustries.nl/domains.php for account 'brandnewmedia'
2026-04-17 07:00:07 | INFO     | app.clients.hostingindustries | Parsed 869 domains from account 'brandnewmedia'
2026-04-17 07:00:07 | INFO     | app.clients.hostingindustries | Total domains after merge/dedup: 2621 (from 2621 raw)
2026-04-17 07:00:07 | INFO     | app.services.run_coordinator | Fetched 2621 domains from HostingIndustries
2026-04-17 07:00:07 | INFO     | app.services.run_coordinator | Already processed domains in history: 745
2026-04-17 07:00:07 | INFO     | app.services.run_coordinator | Unusable domains: 203 total, 0 new to process, 203 already processed (skipped)
2026-04-17 07:00:07 | INFO     | app.services.run_coordinator | ── Processing source database: linkstatus_blauwemonsters ──
2026-04-17 07:00:08 | INFO     | app.services.run_coordinator |   Matched unusable in linkstatus_blauwemonsters: 195
2026-04-17 07:00:11 | INFO     | app.services.run_coordinator |   Affected orders in linkstatus_blauwemonsters: 0
2026-04-17 07:00:12 | INFO     | app.services.run_coordinator | ── Processing source database: linkstatus_brandnewmedia ──
2026-04-17 07:00:13 | INFO     | app.services.run_coordinator |   Matched unusable in linkstatus_brandnewmedia: 129
2026-04-17 07:00:15 | INFO     | app.services.run_coordinator |   Affected orders in linkstatus_brandnewmedia: 0
2026-04-17 07:00:16 | INFO     | app.services.email_draft_service | Generated 0 email drafts for 0 admins
2026-04-17 07:00:16 | INFO     | app.services.email_draft_service | Saved 0 drafts to /output/email_drafts/run_13
2026-04-17 07:00:16 | INFO     | app.services.sheets_service | Sheets sync skipped: no webhook URL or no domains
2026-04-17 07:00:16 | INFO     | app.services.run_coordinator | Marked 0 domains as processed
2026-04-17 07:00:16 | INFO     | app.services.report_service | JSON report written to /output/reports/run_13.json
2026-04-17 07:00:16 | INFO     | app.services.run_coordinator | === Run 13 finished successfully ===
 Container expired_domains-runner-run-1cac7b1fb66a Creating 
 Container expired_domains-runner-run-1cac7b1fb66a Created 
2026-04-18 07:00:02 | INFO     | __main__ | Domain Cleanup — command=run-all  mode=LIVE
2026-04-18 07:00:03 | INFO     | app.services.run_coordinator | === Run 14 started (LIVE) ===
2026-04-18 07:00:03 | INFO     | app.clients.hostingindustries | GET https://domains.hostingindustries.nl/login.php (capture session cookie) for account 'blauwemonsters'
2026-04-18 07:00:03 | INFO     | app.clients.hostingindustries | POST https://domains.hostingindustries.nl/login.php for account 'blauwemonsters'
2026-04-18 07:00:03 | INFO     | app.clients.hostingindustries | Login successful for account 'blauwemonsters'
2026-04-18 07:00:03 | INFO     | app.clients.hostingindustries | GET https://domains.hostingindustries.nl/domains.php for account 'blauwemonsters'
2026-04-18 07:00:06 | INFO     | app.clients.hostingindustries | Parsed 1751 domains from account 'blauwemonsters'
2026-04-18 07:00:06 | INFO     | app.clients.hostingindustries | GET https://domains.hostingindustries.nl/login.php (capture session cookie) for account 'brandnewmedia'
2026-04-18 07:00:06 | INFO     | app.clients.hostingindustries | POST https://domains.hostingindustries.nl/login.php for account 'brandnewmedia'
2026-04-18 07:00:06 | INFO     | app.clients.hostingindustries | Login successful for account 'brandnewmedia'
2026-04-18 07:00:06 | INFO     | app.clients.hostingindustries | GET https://domains.hostingindustries.nl/domains.php for account 'brandnewmedia'
2026-04-18 07:00:08 | INFO     | app.clients.hostingindustries | Parsed 869 domains from account 'brandnewmedia'
